isotope,half_life,units,Specific activity,units
Be-10,1.60E+06,a,825726594.4,Bq/g
C-14,5.70E+03,a,1.65745E+11,Bq/g
Si-32,1.53E+02,a,2.70429E+12,Bq/g
Cl-36,3.02E+05,a,1217914199,Bq/g
Ca-41,1.00E+05,a,3223233783,Bq/g
Ni-59,7.60E+04,a,2953667022,Bq/g
Ni-63,9.87E+01,a,2.12996E+12,Bq/g
Se-79,3.56E+05,a,470884951.7,Bq/g
Sr-90,2.88E+01,a,5.10923E+12,Bq/g
Zr-93,1.61E+06,a,88444692.77,Bq/g
Mo-93,4.00E+03,a,35598859713,Bq/g
Tc-97,4.21E+06,a,32427184.09,Bq/g
Tc-98,4.20E+06,a,32172117.35,Bq/g
Tc-99,2.11E+05,a,633919552.3,Bq/g
Pd-107,6.50E+06,a,19038456.2,Bq/g
Sn-126,1.00E+05,a,1050730923,Bq/g
I-129,1.61E+07,a,6374527.997,Bq/g
Cs-135,2.40E+06,a,40860268.36,Bq/g
Cs-137,3.01E+01,a,3.21568E+12,Bq/g
Pm-147,2.62E+00,a,3.43252E+13,Bq/g
Sm-151,9.47E+01,a,9.25651E+11,Bq/g
Ho-166m,1.20E+03,a,66440287392,Bq/g
Po-209,1.15E+02,a,5.50473E+11,Bq/g
Pb-210,2.22E+01,a,2.83412E+12,Bq/g
Ra-226,1.60E+03,a,36581911671,Bq/g
Ra-228,5.75E+00,a,1.00898E+13,Bq/g
Th-229,7.88E+03,a,7330255518,Bq/g
Th-230,7.54E+04,a,762951827,Bq/g
Pa-231,3.27E+04,a,1752730185,Bq/g
U-232,7.06E+01,a,8.07572E+11,Bq/g
Th-232,1.40E+10,a,4066.64638,Bq/g
U-233,1.59E+05,a,356815468.7,Bq/g
U-234,2.46E+05,a,230250344.6,Bq/g
U-235,7.04E+08,a,79950.63778,Bq/g
U-236,2.34E+07,a,2392540.732,Bq/g
Np-237,2.14E+06,a,26030484.27,Bq/g
U-238,4.47E+09,a,12439.43851,Bq/g
Pu-238,8.77E+01,a,6.33401E+11,Bq/g
Pu-239,2.41E+04,a,2296327976,Bq/g
Pu-240,6.56E+03,a,8399723508,Bq/g
Am-241,4.33E+02,a,1.26864E+11,Bq/g
Pu-241,1.43E+01,a,3.82982E+12,Bq/g
Pu-242,3.73E+05,a,146525776.5,Bq/g
Cm-243,2.89E+01,a,1.88334E+12,Bq/g
Am-243,7.37E+03,a,7388083938,Bq/g
Cm-244,1.81E+01,a,2.99312E+12,Bq/g
Pu-244,8.00E+07,a,677562.8185,Bq/g
